,source,created_at,text,author_id,id,geo.place_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,geo.coordinates.type,geo.coordinates.coordinates,country,full_name,Timeline
244,Twitter for iPhone,2021-02-23T22:51:37.000Z,Completed the 2nd dose today. Thank you UT Southwestern Medical Center for efficient distribution of covid-19 vaccines. https://t.co/TGKc7xwDSY,1058130656302129152,1364347206598205440,07d9d21606087005,0,0,9,0,,,United States,Dallas Market Hall,During_Feb
245,Twitter for iPhone,2021-02-26T20:30:29.000Z,People ask me and my team a lot: how do I grow my followers? New answer is def going to be —Join a @TwitterSpaces! Me and the team have all seen exponential follower growth from being in spaces — like wild numbers. Nice side effect to a product I’m already stoked about.,15517162,1365398853017423872,5ef5b7f391e30aff,3,4,92,2,,,United States,"Berkeley, CA",During_Feb
246,Twitter for iPhone,2021-02-21T15:46:35.000Z,"I’ve been so tired and sleepy lately—like my caffeine isn’t working—I just started taking Advil on the regular for pain, is this a side-effect? I’m “listening” to my body—but she just wants to sleep.",17075987,1363515467868958721,5ef5b7f391e30aff,0,4,18,0,,,United States,"Berkeley, CA",During_Feb
247,Twitter for iPhone,2021-02-26T20:24:47.000Z,"I just got off the phone with Johnson County Public Health. Only those 65+ or in high-risk jobs are receiving COVID-19 vaccines at this time. The next phase will be other high-risk jobs. Then those with previous health issues. Probably in the spring.

Now please, leave me alone.",130852019,1365397419748392960,3cd4c18d3615bbc9,0,2,8,0,,,United States,"Iowa, USA",During_Feb
248,Twitter for Android,2021-02-11T22:35:01.000Z,"Iowa: Worst vaccination rate in the Nation in the middle of a pandemic.

@IowaGOP: Let's get rid of the Iowa Youth Advisory Council. https://t.co/8pgmPVvf5p",4334399601,1359994376794091522,3cd4c18d3615bbc9,46,13,148,12,,,United States,"Iowa, USA",During_Feb
249,Twitter for iPhone,2021-02-21T13:57:00.000Z,"Seeking wisdom (eg from @eliowa @EpiEllie)

What are we calling the period when people have asymptotic acute SARS-CoV-2?

Infection connotes to me symptoms

Colonization implies to me chronicity

What is the technically correct term for getting it and shedding it for a while?",1617927480,1363487891918323713,92b2158a6d509767,0,6,4,0,,,United States,"Ann Arbor, MI",During_Feb
250,Twitter for iPhone,2021-02-19T15:53:57.000Z,QAnon isn’t the only conspiracy theory ruining relationships. Mine has been fractured by opinions/theories/misinformation/politics surrounding COVID and the vaccine. It’s been almost a year of agony watching someone you were so closed to slip away—&amp; they think you’re the prob,2342130810,1362792547387637766,e363b61fbd793d7d,50,18,443,4,,,United States,"Berwyn, IL",During_Feb
251,Twitter for iPhone,2021-02-26T22:50:55.000Z,"As it turns out, getting the first SARS-CoV-2 shot the same morning as you schedule for your kitties’ vet appointments so that y’all can chill together and bum out after shots is... ideal, but exhausting.

Holy traumatic, Batman. I’m a mess, they’re a mess, and Charley is fat.",389202860,1365434196089446400,813a485b26b8dae2,0,2,7,0,,,United States,"Albuquerque, NM",During_Feb
252,Twitter for iPhone,2021-02-26T21:02:58.000Z,"Analyzing SARS-CoV-2 sequencing results is like a complicated murder mystery game of “who done it?”

Except all of the guests to the party are guilty...",936701400150659073,1365407028877824002,9807c5c5f7a2c6ce,0,0,6,0,,,United States,"Minnesota, USA",During_Feb
253,Twitter for iPhone,2021-02-22T21:07:13.000Z,"Certain communities, including #rural, Black, and other minority groups, look to church leadership to help make choices. Join @FralinBiomed on Thursday for a virtual lecture on this research and how it applies to COVID-19 and vaccines. 
https://t.co/E7Rzhnx9JE",740357093094526980,1363958547306995718,5635c19c2b5078d1,4,0,6,0,,,United States,"Virginia, USA",During_Feb
